0,1,2,3,4,5
Javier Pérez de Cuéllar de la Guerra,Unión por el Perú,Valentín Paniagua,22 de noviembre de 2000,28 de julio del 2001,8 meses y 6 días
Roberto Dañino Zapata,Independiente,Alejandro Toledo,28 de julio de 2001,11 de julio de 2002,11 meses y 13 días
Luis Solari de la Fuente,Perú Posible,,12 de julio de 2002,23 de junio de 2003,11 meses y 2 días
Beatriz Merino Lucero,Independiente,,23 de junio de 2003,12 de diciembre de 2003,6 meses y 19 días
Carlos Ferrero Costa,Perú Posible,,15 de diciembre de 2003,15 de agosto de 2005,1 año y 8 meses
Pedro Pablo Kuczynski Godard,Independiente,,16 de agosto de 2005,28 de julio de 2006,11 meses y 12 días
Jorge del Castillo Gálvez,Partido Aprista Peruano,Alan García,28 de julio de 2006,10 de octubre de 2008,"2 años, 2 meses y 12 días"
Yehude Simón Munaro,Partido Humanista Peruano,,14 de octubre de 2008,11 de julio de 2009,8 meses y 27 días
Javier Velásquez Quesquén,Partido Aprista Peruano,,11 de julio de 2009,13 de septiembre de 2010,"1 año, 2 meses y 2 días"
José Antonio Chang Escobedo,Independiente,,14 de septiembre de 2010,18 de marzo de 2011,6 meses y 4 días
Rosario Fernández Figueroa,Independiente,,19 de marzo de 2011,28 de julio de 2011,4 meses y 9 días
Salomón Lerner Ghitis,Independiente,Ollanta Humala,28 de julio de 2011,10 de diciembre de 2011,4 meses y 12 días
Óscar Valdés Dancuart,Independiente,,10 de diciembre de 2011,23 de julio de 2012,7 meses y 13 días
Juan Jiménez Mayor,Independiente,,23 de julio de 2012,29 de octubre de 2013,"1 año, 3 meses y 6 días"
César Villanueva Arévalo,Independiente,,31 de octubre de 2013,24 de febrero de 2014,3 meses y 24 días
René Cornejo Díaz,Independiente,,24 de febrero de 2014,22 de julio de 2014,4 meses y 28 días
Ana Jara Velásquez,Partido Nacionalista Peruano,,22 de julio de 2014,2 de abril de 2015,8 meses y 11 días
Pedro Cateriano Bellido,Independiente,,2 de abril de 2015,28 de julio de 2016,"1 año, 3 meses y 26 días"
Fernando Zavala Lombardi,Independiente,Pedro Pablo Kuczynski,28 de julio de 2016,15 de septiembre de 2017,"1 año, 1 mes, y 17 días"
Mercedes Aráoz Fernández,Peruanos por el Kambio,,17 de septiembre de 2017,23 de marzo de 2018,6 meses y 16 días
Martín Vizcarra,23 de marzo de 2018,2 de abril de 2018,,,
César Villanueva Arévalo,Alianza para el Progreso,,2 de abril de 2018,8 de marzo de 2019,11 meses y 6 días
Salvador del Solar Labarthe,Independiente,,11 de marzo de 2019,30 de septiembre de 2019,6 meses y 19 días
Vicente Zeballos Salinas,Independiente,,30 de septiembre de 2019,15 de julio de 2020,9 meses y 15 días
Pedro Cateriano Bellido,Independiente,,15 de julio de 2020,6 de agosto de 2020,20 días
Walter Martos Ruiz,Independiente,,6 de agosto de 2020,10 de noviembre de 2020,3 meses y 4 días
Ántero Flores-Aráoz Esparza,Independiente,Manuel Merino,11 de noviembre de 2020[8]​,17 de noviembre de 2020,6 días
Violeta Bermúdez Valdivia,Independiente,Francisco Sagasti,18 de noviembre de 2020[9]​,28 de julio de 2021,8 meses y 7 días
Guido Bellido Ugarte,Perú Libre,Pedro Castillo,29 de julio de 2021[10]​,6 de octubre de 2021,2 meses y 8 días
Mirtha Vásquez Chuquilin,Frente Amplio,,6 de octubre de 2021,31 de enero de 2022,3 meses y 25 días
Héctor Valer Pinto,Somos Perú,,1 de febrero de 2022,8 de febrero de 2022[11]​,7 días
Aníbal Torres Vásquez,Independiente,,8 de febrero de 2022,24 de noviembre de 2022,9 meses y 16 días
Betssy Chávez Chino,Perú Libre,,25 de noviembre de 2022,7 de diciembre de 2022,13 días
Pedro Angulo Arana,Independiente,Dina Boluarte,10 de diciembre de 2022,21 de diciembre de 2022,11 días
Alberto Otárola Peñaranda,Independiente,,21 de diciembre de 2022,5 de marzo de 2024,"1 año, 2 meses y 15 días"
Gustavo Adrianzén Olaya,Independiente,,6 de marzo de 2024,En el cargo,1 año y 2 meses
