"PCM","NeverElectoralParticipation","GraduateDegreeInForeignCountry","RelevantActivityPrivateSector","RelevantActivityAcademia","DifferentThanLawyer","resp_pattern","technocrat_trait_ltm"
"Manuel Ulloa Elías",0,0,1,0,0,"001",-0.253337731130251
"Fernando Schwalb López-Aldana",0,0,0,0,0,"000",-0.782603495494946
"Sandro Mariátegui Chiappe",0,0,1,0,0,"001",-0.253337731130251
"Luis Pércovich Roca",0,0,1,0,1,"001",-0.253337731130251
"Luis Alva Castro",0,0,0,0,1,"000",-0.782603495494946
"Guillermo Larco Cox",0,0,0,0,1,"000",-0.782603495494946
"Armando Villanueva del Campo",0,0,0,0,1,"000",-0.782603495494946
"Luis Alberto Sánchez Sánchez",0,0,0,1,0,"000",-0.782603495494946
"Juan Carlos Hurtado Miller",1,1,0,0,1,"110",0.826109351636007
"Carlos Torres y Torres Lara",1,1,0,1,0,"110",0.826109351636007
"Alfonso de los Heros Pérez-Albela",1,0,0,0,0,"100",0.103452911587286
"Óscar de la Puente Raygada",1,0,0,0,0,"100",0.103452911587286
"Alfonso Bustamante y Bustamante",1,1,1,0,1,"111",1.28443167877563
"Efraín Goldenberg Schreiber",1,0,1,0,0,"101",0.498225324249016
"Dante Córdova Blanco",1,0,1,0,0,"101",0.498225324249016
"Alberto Pandolfi Arbulú",1,1,1,0,1,"111",1.28443167877563
"Javier Valle-Riestra González-Olaechea",0,0,0,0,0,"000",-0.782603495494946
"Víctor Joy Way Rojas",0,1,1,0,1,"011",0.494180385639397
"Alberto Bustamante Belaúnde",1,1,0,0,0,"110",0.826109351636007
"Federico Salas-Guevara Schultz",0,0,0,0,1,"000",-0.782603495494946
"Javier Pérez de Cuéllar de la Guerra",0,0,0,1,0,"000",-0.782603495494946
"Roberto Dañino Zapata",1,1,1,0,0,"111",1.28443167877563
"Luis Solari de la Fuente",0,0,0,0,1,"000",-0.782603495494946
"Beatriz Merino Lucero",0,1,1,1,0,"011",0.494180385639397
"Carlos Ferrero Costa",0,0,0,0,0,"000",-0.782603495494946
"Pedro Pablo Kuczynski Godard",1,1,1,0,1,"111",1.28443167877563
"Jorge del Castillo Gálvez",0,0,0,0,0,"000",-0.782603495494946
"Yehude Simón Munaro",0,0,0,0,1,"000",-0.782603495494946
"Javier Velásquez Quesquén",0,0,0,0,0,"000",-0.782603495494946
"José Antonio Chang Escobedo",1,1,1,0,1,"111",1.28443167877563
"Rosario Fernández Figueroa",1,0,1,0,0,"101",0.498225324249016
"Salomón Lerner Ghitis",1,1,1,0,1,"111",1.28443167877563
"Óscar Valdés Dancuart",0,0,1,0,1,"001",-0.253337731130251
"Juan Jiménez Mayor",1,1,0,1,0,"110",0.826109351636007
"René Cornejo Díaz",1,0,0,0,1,"100",0.103452911587286
"Ana Jara Velásquez",0,0,0,0,0,"000",-0.782603495494946
"Fernando Zavala Lombardi",1,1,1,0,1,"111",1.28443167877563
"Mercedes Aráoz Fernández",0,1,0,1,1,"010",0.0992461047760012
"César Villanueva Arévalo",0,0,0,0,1,"000",-0.782603495494946
"Salvador del Solar Labarthe",1,1,0,0,0,"110",0.826109351636007
"Vicente Zeballos Salinas",0,1,0,0,0,"010",0.0992461047760012
"Pedro Cateriano Bellido",0,1,0,1,0,"010",0.0992461047760012
"Walter Martos Ruiz",1,0,0,0,1,"100",0.103452911587286
"Ántero Flores-Aráoz Esparza",0,0,0,0,0,"000",-0.782603495494946
"Violeta Bermúdez Valdivia",1,0,0,0,0,"100",0.103452911587286
"Guido Bellido Ugarte",0,0,0,0,1,"000",-0.782603495494946
"Mirtha Vásquez Chuquilin",0,0,0,0,0,"000",-0.782603495494946
"Héctor Valer Pinto",0,1,0,0,0,"010",0.0992461047760012
"Aníbal Torres Vásquez",1,0,0,1,0,"100",0.103452911587286
"Betssy Chávez Chino",0,0,0,0,0,"000",-0.782603495494946
"Pedro Angulo Arana",0,0,0,0,0,"000",-0.782603495494946
"Alberto Otárola Peñaranda",0,0,0,0,0,"000",-0.782603495494946
"Gustavo Adrianzén Olaya",1,1,0,0,0,"110",0.826109351636007
